FIT Profiler Report
Profile stats for: [LightningModule]LitLatentJacobianODE.configure_callbacks
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
         28275 function calls (25168 primitive calls) in 0.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 model_summary.py:59(on_fit_start)
        1    0.000    0.000    0.008    0.008 rich_model_summary.py:67(summarize)
        2    0.000    0.000    0.008    0.004 console.py:1648(print)
   130/16    0.000    0.000    0.007    0.000 {method 'extend' of 'list' objects}
  381/140    0.000    0.000    0.007    0.000 console.py:1300(render)
      140    0.000    0.000    0.007    0.000 table.py:475(__rich_console__)
      140    0.000    0.000    0.005    0.000 table.py:755(_render)
   140/92    0.000    0.000    0.004    0.000 segment.py:309(split_and_crop_lines)
    62/38    0.000    0.000    0.004    0.000 console.py:1351(render_lines)
      149    0.000    0.000    0.003    0.000 {built-in method builtins.sum}
      121    0.000    0.000    0.002    0.000 text.py:689(__rich_console__)
      120    0.000    0.000    0.002    0.000 padding.py:79(__rich_console__)
        2    0.000    0.000    0.002    0.001 table.py:523(_calculate_column_widths)
      358    0.000    0.000    0.002    0.000 module.py:2666(parameters)
        8    0.000    0.000    0.002    0.000 table.py:716(_measure_column)
      358    0.000    0.000    0.002    0.000 module.py:2691(named_parameters)
      358    0.000    0.000    0.002    0.000 module.py:2646(_named_members)
    62/38    0.000    0.000    0.001    0.000 measure.py:78(get)
        1    0.000    0.000    0.001    0.001 model_summary.py:374(_get_summary_data)
       38    0.000    0.000    0.001    0.000 text.py:1201(wrap)
        3    0.000    0.000    0.001    0.000 model_summary.py:293(total_parameters)
      177    0.000    0.000    0.001    0.000 model_summary.py:295(<genexpr>)
       45    0.000    0.000    0.001    0.000 segment.py:211(<genexpr>)
 3194/576    0.001    0.000    0.001    0.000 module.py:2837(named_modules)
       76    0.000    0.000    0.001    0.000 console.py:1415(render_str)
        2    0.000    0.000    0.001    0.000 model_summary.py:279(param_nums)
       76    0.000    0.000    0.001    0.000 markup.py:106(render)
        6    0.000    0.000    0.001    0.000 model_summary.py:139(num_parameters)
      122    0.000    0.000    0.001    0.000 model_summary.py:142(<genexpr>)
       24    0.000    0.000    0.001    0.000 padding.py:125(__rich_measure__)
       86    0.000    0.000    0.001    0.000 table.py:627(_get_cells)
      114    0.000    0.000    0.000    0.000 segment.py:356(adjust_line_length)
        1    0.000    0.000    0.000    0.000 model_summary.py:297(trainable_parameters)
       59    0.000    0.000    0.000    0.000 model_summary.py:299(<genexpr>)
     1614    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 model_summary.py:305(model_size)
        1    0.000    0.000    0.000    0.000 model_summary.py:301(total_layer_params)
      348    0.000    0.000    0.000    0.000 model_summary.py:538(_tensor_has_shape)
       38    0.000    0.000    0.000    0.000 text.py:778(join)
      448    0.000    0.000    0.000    0.000 segment.py:375(<genexpr>)
      224    0.000    0.000    0.000    0.000 text.py:144(__init__)
      121    0.000    0.000    0.000    0.000 text.py:719(render)
      609    0.000    0.000    0.000    0.000 cells.py:98(cell_len)
        2    0.000    0.000    0.000    0.000 console.py:868(__exit__)
        2    0.000    0.000    0.000    0.000 console.py:823(_exit_buffer)
        2    0.000    0.000    0.000    0.000 console.py:2031(_check_buffer)
        2    0.000    0.000    0.000    0.000 console.py:2046(_write_buffer)
       34    0.000    0.000    0.000    0.000 _wrap.py:26(divide_line)
      916    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       38    0.000    0.000    0.000    0.000 text.py:707(__rich_measure__)
      334    0.000    0.000    0.000    0.000 segment.py:81(cell_length)
       38    0.000    0.000    0.000    0.000 containers.py:111(justify)
     1948    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       72    0.000    0.000    0.000    0.000 text.py:443(copy)
      662    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       38    0.000    0.000    0.000    0.000 segment.py:428(set_shape)
      261    0.000    0.000    0.000    0.000 control.py:181(strip_control_codes)
      117    0.000    0.000    0.000    0.000 measure.py:24(normalize)
       42    0.000    0.000    0.000    0.000 console.py:163(update)
       38    0.000    0.000    0.000    0.000 text.py:1062(split)
      450    0.000    0.000    0.000    0.000 text.py:402(plain)
      696    0.000    0.000    0.000    0.000 _tensor.py:1225(__hash__)
      168    0.000    0.000    0.000    0.000 console.py:1476(get_style)
        1    0.000    0.000    0.000    0.000 model_summary.py:287(total_training_modes)
      348    0.000    0.000    0.000    0.000 parameter.py:21(__instancecheck__)
        1    0.000    0.000    0.000    0.000 model_summary.py:85(_summary)
        4    0.000    0.000    0.000    0.000 console.py:1010(size)
       90    0.000    0.000    0.000    0.000 _emoji_replace.py:12(_emoji_replace)
      484    0.000    0.000    0.000    0.000 module.py:2716(<lambda>)
        1    0.000    0.000    0.000    0.000 model_summary.py:552(summarize)
      133    0.000    0.000    0.000    0.000 style.py:753(__add__)
       82    0.000    0.000    0.000    0.000 module.py:2806(modules)
       76    0.000    0.000    0.000    0.000 text.py:859(truncate)
        1    0.000    0.000    0.000    0.000 model_summary.py:214(__init__)
       70    0.000    0.000    0.000    0.000 markup.py:73(_parse)
      128    0.000    0.000    0.000    0.000 protocol.py:19(rich_cast)
       34    0.000    0.000    0.000    0.000 text.py:1106(divide)
        2    0.000    0.000    0.000    0.000 console.py:996(options)
      261    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      870    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x14a10e0}
       86    0.000    0.000    0.000    0.000 _wrap.py:12(words)
      132    0.000    0.000    0.000    0.000 console.py:153(copy)
        2    0.000    0.000    0.000    0.000 console_capture.py:182(write_with_callbacks)
       76    0.000    0.000    0.000    0.000 text.py:790(iter_text)
       28    0.000    0.000    0.000    0.000 text.py:964(append)
       94    0.000    0.000    0.000    0.000 measure.py:34(with_maximum)
     1052    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 console.py:2119(_render_buffer)
       86    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.000    0.000 console.py:984(is_dumb_terminal)
      202    0.000    0.000    0.000    0.000 typing.py:426(inner)
        8    0.000    0.000    0.000    0.000 console.py:936(is_terminal)
        1    0.000    0.000    0.000    0.000 model_summary.py:325(summarize)
      750    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       64    0.000    0.000    0.000    0.000 console.py:226(reset_height)
       14    0.000    0.000    0.000    0.000 text.py:758(get_current_style)
       10    0.000    0.000    0.000    0.000 table.py:422(add_row)
       48    0.000    0.000    0.000    0.000 padding.py:33(__init__)
      186    0.000    0.000    0.000    0.000 containers.py:75(__iter__)
       28    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
       87    0.000    0.000    0.000    0.000 protocol.py:10(is_renderable)
       38    0.000    0.000    0.000    0.000 text.py:430(blank_copy)
      125    0.000    0.000    0.000    0.000 _loop.py:18(loop_last)
        7    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
        2    0.000    0.000    0.000    0.000 console.py:1062(width)
      348    0.000    0.000    0.000    0.000 {method 'numel' of 'torch._C.TensorBase' objects}
       38    0.000    0.000    0.000    0.000 containers.py:105(extend)
      696    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       11    0.000    0.000    0.000    0.000 model_summary.py:500(get_human_readable_count)
        4    0.000    0.000    0.000    0.000 model_summary.py:326(<genexpr>)
      326    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
  323/285    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       50    0.000    0.000    0.000    0.000 padding.py:60(unpack)
        3    0.000    0.000    0.000    0.000 model_summary.py:75(__init__)
       28    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
        6    0.000    0.000    0.000    0.000 contextlib.py:515(enter_context)
       86    0.000    0.000    0.000    0.000 text.py:715(<genexpr>)
        3    0.000    0.000    0.000    0.000 model_summary.py:85(_register_hook)
        1    0.000    0.000    0.000    0.000 profiler.py:57(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:81(stop)
       62    0.000    0.000    0.000    0.000 text.py:712(<genexpr>)
       26    0.000    0.000    0.000    0.000 console.py:200(update_width)
       38    0.000    0.000    0.000    0.000 table.py:848(align_cell)
       86    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 console.py:1506(_collect_renderables)
       38    0.000    0.000    0.000    0.000 text.py:191(__contains__)
      348    0.000    0.000    0.000    0.000 {function _ParameterMeta.__instancecheck__ at 0x14632f0b7ec0}
        8    0.000    0.000    0.000    0.000 table.py:364(add_column)
      290    0.000    0.000    0.000    0.000 style.py:437(__hash__)
      316    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      114    0.000    0.000    0.000    0.000 containers.py:69(__init__)
      150    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 module.py:1688(register_forward_hook)
       90    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 contextlib.py:571(__exit__)
        1    0.000    0.000    0.000    0.000 flop_counter.py:676(__init__)
       48    0.000    0.000    0.000    0.000 table.py:642(get_padding)
        6    0.000    0.000    0.000    0.000 contextlib.py:136(__enter__)
      172    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.000    0.000 text.py:662(rstrip)
        2    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
